2017-05-22 14:26:45.701994 , Temp:  ,UV: ,Knob: 
2017-05-22 14:27:10.728613 , 35.895 ,4.0 ,441
2017-05-22 14:27:20.845464 , 35.895 ,4.0 ,441
2017-05-22 14:27:30.898523 , 35.895 ,4.0 ,441
2017-05-22 14:27:40.958096 , 35.895 ,4.0 ,441
2017-05-22 14:27:51.017496 , 36.384 ,4.0 ,441
2017-05-22 14:28:01.076984 , 35.895 ,4.0 ,441
2017-05-22 14:28:11.136278 , 36.384 ,4.0 ,441
2017-05-22 14:28:21.195911 , 36.384 ,4.0 ,441
2017-05-22 14:28:31.255360 , 35.895 ,4.0 ,441
2017-05-22 14:28:41.314869 , 36.384 ,5.0 ,441
2017-05-22 14:28:51.374174 , 35.895 ,5.0 ,441
2017-05-22 14:29:01.433639 , 35.895 ,5.0 ,179
2017-05-22 14:29:11.493043 , 35.895 ,5.0 ,179
2017-05-22 14:29:21.552555 , 34.918 ,5.0 ,179
2017-05-22 14:29:31.611928 , 35.895 ,5.0 ,179
2017-05-22 14:29:41.671542 , 35.895 ,5.0 ,179
2017-05-22 14:29:51.730959 , 35.895 ,5.0 ,179
2017-05-22 14:30:01.790277 , 35.407 ,6.0 ,179
2017-05-22 14:30:11.849761 , 35.407 ,5.0 ,179
2017-05-22 14:30:21.909192 , 36.384 ,5.0 ,179
2017-05-22 14:30:31.968739 , 35.895 ,5.0 ,179
2017-05-22 14:30:42.028059 , 35.895 ,5.0 ,179
2017-05-22 14:30:52.087559 , 35.895 ,5.0 ,179
2017-05-22 14:31:02.147027 , 35.895 ,5.0 ,516
2017-05-22 14:31:12.206481 , 35.895 ,5.0 ,516
2017-05-22 14:31:22.265941 , 35.895 ,5.0 ,516
2017-05-22 14:31:32.325423 , 35.895 ,5.0 ,516
2017-05-22 14:31:42.384756 , 35.895 ,5.0 ,516
2017-05-22 14:31:52.444301 , 35.895 ,5.0 ,516
2017-05-22 14:32:02.503598 , 35.895 ,6.0 ,516
2017-05-22 14:32:12.563111 , 35.895 ,6.0 ,516
2017-05-22 14:32:22.622579 , 35.895 ,6.0 ,516
2017-05-22 14:32:32.681913 , 35.895 ,6.0 ,516
2017-05-22 14:32:42.741471 , 36.384 ,6.0 ,516
